image,source_image,width,height,box_count,has_transcription,source_bytes,output_bytes,frame_transform
image_0001.jpg,image_0001.jpeg,1200,1600,1,1,2004263,332505,raw
image_0002.jpg,image_0002.jpeg,1200,1600,1,1,2291614,307766,raw
image_0003.jpg,image_0003.jpeg,1200,1600,1,1,2118297,351431,raw
image_0004.jpg,image_0004.jpeg,1200,1600,1,1,2221585,368139,raw
image_0005.jpg,image_0005.jpeg,1200,1600,1,1,2051267,323427,raw
image_0006.jpg,image_0006.jpeg,1200,1600,1,1,1826655,290020,raw
image_0007.jpg,image_0007.jpeg,1200,1600,1,1,1583581,231787,raw
image_0008.jpg,image_0008.jpeg,1200,1600,1,1,2686908,401460,raw
image_0009.jpg,image_0009.jpeg,1200,1600,1,1,2204061,278585,raw
image_0010.jpg,image_0010.jpeg,1200,1600,1,1,1893040,252929,raw
image_0011.jpg,image_0011.jpeg,1200,1600,1,1,2606378,414262,raw
image_0012.jpg,image_0012.jpeg,1200,1600,1,1,2828250,452723,raw
image_0013.jpg,image_0013.jpeg,1200,1600,1,1,2371256,402158,raw
image_0014.jpg,image_0014.jpeg,1200,1600,1,1,2843926,470181,raw
image_0015.jpg,image_0015.jpeg,1200,1600,1,1,2649114,424104,raw
image_0016.jpg,image_0016.jpeg,1200,1600,1,1,2544412,370155,raw
image_0017.jpg,image_0017.jpeg,1200,1600,1,1,3100280,489577,raw
image_0018.jpg,image_0018.jpeg,1200,1600,1,1,2225831,279693,raw
image_0019.jpg,image_0019.jpeg,1200,1600,1,1,4478850,261159,raw
image_0020.jpg,image_0020.jpeg,1200,1600,1,1,1957642,230772,raw
image_0021.jpg,image_0021.jpeg,1200,1600,1,1,2245122,308104,raw
image_0022.jpg,image_0022.jpeg,1200,1600,1,1,1209658,144886,raw
image_0023.jpg,image_0023.jpeg,1200,1600,1,1,2470501,339481,raw
image_0024.jpg,image_0024.jpeg,1200,1600,1,1,2497566,355313,raw
image_0025.jpg,image_0025.jpeg,1200,1600,1,1,1849335,288342,raw
image_0026.jpg,image_0026.jpeg,1200,1600,1,1,1763392,267827,raw
image_0027.jpg,image_0027.jpeg,1200,1600,1,1,2034678,317553,raw
image_0028.jpg,image_0028.jpeg,1200,1600,1,1,1885680,285378,raw
image_0029.jpg,image_0029.jpeg,1200,1600,1,1,1846335,304639,raw
image_0030.jpg,image_0030.jpeg,1200,1600,1,1,2237981,313140,raw
image_0031.jpg,image_0031.jpeg,1200,1600,1,1,2590721,354738,raw
image_0032.jpg,image_0032.jpeg,1200,1600,1,1,2930957,443308,raw
image_0033.jpg,image_0033.jpeg,1200,1600,1,1,2774836,420987,raw
image_0034.jpg,image_0034.jpeg,1200,1600,1,1,3132444,471203,raw
image_0035.jpg,image_0035.jpeg,1200,1600,1,1,4839927,370959,raw
image_0036.jpg,image_0036.jpeg,1200,1600,1,1,5286971,392212,raw
image_0037.jpg,image_0037.jpeg,1200,1600,1,1,1855446,224178,raw
image_0038.jpg,image_0038.jpeg,1200,1600,1,1,1773675,200556,raw
image_0039.jpg,image_0039.jpeg,1200,1600,1,1,2967486,465647,raw
